fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2024-2025,06,1,"JAMMU AND KASHMIR",12,RAJAURI,IGNDPS,72,3,5,64,0,69,2,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",13,SRINAGAR,IGNDPS,110,0,0,110,0,99,71,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",14,UDHAMPUR,IGNDPS,19,3,1,14,1,17,4,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",4,DODA,IGNDPS,224,18,12,194,0,224,48,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",5,JAMMU,IGNDPS,14,2,1,10,1,14,1,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",624,SAMBA,IGNDPS,63,9,7,46,1,61,3,2024-07-29
2024-2025,06,1,"JAMMU AND KASHMIR",627,REASI,IGNDPS,28,1,11,16,0,28,0,2024-07-29
2024-2025,06,10,BIHAR,193,BHOJPUR,IGNDPS,2813,458,11,1732,612,1703,2234,2024-07-29
2024-2025,06,10,BIHAR,208,MUZAFFARPUR,IGNDPS,3652,689,15,2806,142,2600,3082,2024-07-29
2024-2025,06,10,BIHAR,213,"PURBI CHAMPARAN",IGNDPS,9960,898,797,7745,520,5747,6567,2024-07-29
2024-2025,06,10,BIHAR,215,ROHTAS,IGNDPS,3252,319,38,2717,178,2420,2442,2024-07-29
2024-2025,06,10,BIHAR,219,SHEIKHPURA,IGNDPS,1139,166,3,874,96,770,891,2024-07-29
2024-2025,06,10,BIHAR,222,SIWAN,IGNDPS,4943,779,305,2207,1652,3314,3781,2024-07-29
2024-2025,06,10,BIHAR,223,SUPAUL,IGNDPS,1036,157,17,661,201,716,865,2024-07-29
2024-2025,06,11,SIKKIM,226,"NORTH DISTRICT",IGNDPS,31,0,29,0,2,0,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",232,"EAST SIANG",IGNDPS,196,0,196,0,0,102,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",241,"UPPER SUBANSIRI",IGNDPS,228,0,228,0,0,44,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",628,ANJAW,IGNDPS,74,0,74,0,0,51,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",677,"KRA DAADI",IGNDPS,73,0,73,0,0,36,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",679,SIANG,IGNDPS,58,0,58,0,0,41,0,2024-07-29
2024-2025,06,12,"ARUNACHAL PRADESH",723,"PAKKE KESSANG",IGNDPS,47,0,47,0,0,26,0,2024-07-29
2024-2025,06,13,NAGALAND,246,MOKOKCHUNG,IGNDPS,139,0,139,0,0,15,0,2024-07-29
2024-2025,06,13,NAGALAND,613,PEREN,IGNDPS,51,0,51,0,0,0,0,2024-07-29
2024-2025,06,13,NAGALAND,614,KIPHIRE,IGNDPS,75,0,75,0,0,12,4,2024-07-29
2024-2025,06,14,MANIPUR,257,SENAPATI,IGNDPS,126,0,124,2,0,38,0,2024-07-29
2024-2025,06,14,MANIPUR,258,TAMENGLONG,IGNDPS,49,0,49,0,0,16,0,2024-07-29
2024-2025,06,15,MIZORAM,261,AIZAWL,IGNDPS,226,1,219,6,0,158,158,2024-07-29
2024-2025,06,15,MIZORAM,264,LAWNGTLAI,IGNDPS,58,0,53,5,0,5,22,2024-07-29
2024-2025,06,16,TRIPURA,271,"SOUTH TRIPURA",IGNDPS,309,45,68,144,52,139,0,2024-07-29
2024-2025,06,16,TRIPURA,655,UNAKOTI,IGNDPS,239,49,26,145,19,120,0,2024-07-29
2024-2025,06,17,MEGHALAYA,274,"EAST KHASI HILLS",IGNDPS,410,0,405,5,0,223,94,2024-07-29
2024-2025,06,17,MEGHALAYA,278,"WEST GARO HILLS",IGNDPS,158,3,86,68,1,119,19,2024-07-29
2024-2025,06,17,MEGHALAYA,657,"EAST JAINTIA HILLS",IGNDPS,41,1,30,9,1,28,3,2024-07-29
2024-2025,06,17,MEGHALAYA,658,"SOUTH WEST KHASI HILLS",IGNDPS,142,0,142,0,0,106,42,2024-07-29
2024-2025,06,18,ASSAM,280,BARPETA,IGNDPS,987,11,1,971,4,771,804,2024-07-29
2024-2025,06,18,ASSAM,285,DHUBRI,IGNDPS,1983,10,0,1954,19,1601,1630,2024-07-29
2024-2025,06,18,ASSAM,288,GOLAGHAT,IGNDPS,1243,35,23,1117,68,817,769,2024-07-29
2024-2025,06,18,ASSAM,295,LAKHIMPUR,IGNDPS,1474,78,211,969,216,1220,850,2024-07-29
2024-2025,06,18,ASSAM,298,NALBARI,IGNDPS,670,2,0,666,2,455,489,2024-07-29
2024-2025,06,18,ASSAM,301,SONITPUR,IGNDPS,1464,18,15,1373,58,827,820,2024-07-29
2024-2025,06,18,ASSAM,705,BISWANATH,IGNDPS,894,40,58,728,68,560,209,2024-07-29
2024-2025,06,19,"WEST BENGAL",309,DARJEELING,IGNDPS,766,130,119,484,33,704,639,2024-07-29
2024-2025,06,19,"WEST BENGAL",311,"DINAJPUR UTTAR",IGNDPS,720,158,16,543,3,701,690,2024-07-29
2024-2025,06,19,"WEST BENGAL",317,"PURBA MEDINIPUR",IGNDPS,4052,421,46,3566,19,3917,3857,2024-07-29
2024-2025,06,19,"WEST BENGAL",321,PURULIA,IGNDPS,1640,267,167,1171,34,1588,1429,2024-07-29
2024-2025,06,19,"WEST BENGAL",702,KALIMPONG,IGNDPS,366,42,109,215,0,357,366,2024-07-29
2024-2025,06,2,"HIMACHAL PRADESH",18,KANGRA,IGNDPS,191,58,10,77,46,27,0,2024-07-29
2024-2025,06,20,JHARKHAND,325,DHANBAD,IGNDPS,3507,283,112,1531,1581,3413,1231,2024-07-29
2024-2025,06,20,JHARKHAND,327,"PURBI SINGHBHUM",IGNDPS,670,40,157,316,157,666,341,2024-07-29
2024-2025,06,20,JHARKHAND,328,GARHWA,IGNDPS,2016,501,134,555,826,1956,499,2024-07-29
2024-2025,06,20,JHARKHAND,338,PALAMU,IGNDPS,1489,378,59,346,706,1445,272,2024-07-29
2024-2025,06,20,JHARKHAND,339,RANCHI,IGNDPS,434,53,163,144,74,330,154,2024-07-29
2024-2025,06,21,ODISHA,352,DHENKANAL,IGNDPS,2599,270,82,1824,423,2599,1510,2024-07-29
2024-2025,06,21,ODISHA,358,KALAHANDI,IGNDPS,3462,604,475,1099,1284,3360,1548,2024-07-29
2024-2025,06,21,ODISHA,366,NABARANGAPUR,IGNDPS,2636,383,803,1137,313,2549,841,2024-07-29
2024-2025,06,21,ODISHA,370,RAYAGADA,IGNDPS,1753,269,795,484,205,1652,447,2024-07-29
2024-2025,06,21,ODISHA,372,SONEPUR,IGNDPS,1482,296,97,563,526,1480,873,2024-07-29
2024-2025,06,21,ODISHA,373,SUNDARGARH,IGNDPS,4560,315,1624,2330,291,4398,3350,2024-07-29
2024-2025,06,22,CHHATTISGARH,376,DANTEWADA,IGNDPS,754,46,404,177,127,698,192,2024-07-29
2024-2025,06,22,CHHATTISGARH,383,KORBA,IGNDPS,2565,223,1047,774,521,2430,136,2024-07-29
2024-2025,06,22,CHHATTISGARH,386,RAIGARH,IGNDPS,1261,103,367,466,325,1189,410,2024-07-29
2024-2025,06,22,CHHATTISGARH,389,SURGUJA,IGNDPS,878,39,171,576,92,860,240,2024-07-29
2024-2025,06,22,CHHATTISGARH,636,BIJAPUR,IGNDPS,365,32,212,80,41,268,15,2024-07-29
2024-2025,06,22,CHHATTISGARH,644,BALODABAZAR,IGNDPS,1217,248,103,251,615,1164,241,2024-07-29
2024-2025,06,22,CHHATTISGARH,650,BEMETARA,IGNDPS,1030,130,27,431,442,929,503,2024-07-29
2024-2025,06,22,CHHATTISGARH,759,"KHAIRAGARH CHHUIKHADAN GANDAI",IGNDPS,601,66,54,118,363,598,372,2024-07-29
2024-2025,06,22,CHHATTISGARH,760,"MANENDRAGARH CHIRMIRI BHARATPUR",IGNDPS,394,33,136,113,112,389,131,2024-07-29
2024-2025,06,22,CHHATTISGARH,763,"SARANGARH BILAIGARH",IGNDPS,701,174,44,114,369,650,118,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",395,BHIND,IGNDPS,1696,545,9,445,697,805,740,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",415,MANDLA,IGNDPS,4053,286,2199,88,1480,1989,581,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",418,NARSINGHPUR,IGNDPS,4042,982,439,488,2133,2100,885,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",422,RAJGARH,IGNDPS,5633,1282,146,587,3618,2846,824,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",428,SEONI,IGNDPS,2015,297,700,194,824,1259,622,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",433,SIDHI,IGNDPS,4715,725,1036,847,2107,2075,949,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",435,UJJAIN,IGNDPS,1305,569,51,220,465,785,688,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",436,UMARIA,IGNDPS,2268,275,810,349,834,956,365,2024-07-29
2024-2025,06,23,"MADHYA PRADESH",667,"AGAR MALWA",IGNDPS,620,153,17,97,353,310,32,2024-07-29
2024-2025,06,24,GUJARAT,440,ANAND,IGNDPS,1031,142,11,525,349,729,772,2024-07-29
2024-2025,06,24,GUJARAT,445,DAHOD,IGNDPS,1723,39,1253,323,108,1565,1133,2024-07-29
2024-2025,06,24,GUJARAT,461,VADODARA,IGNDPS,503,60,22,388,30,373,282,2024-07-29
2024-2025,06,24,GUJARAT,673,MORBI,IGNDPS,303,51,4,121,127,302,268,2024-07-29
2024-2025,06,27,MAHARASHTRA,468,AMRAVATI,IGNDPS,423,35,132,237,19,327,126,2024-07-29
2024-2025,06,27,MAHARASHTRA,472,BULDHANA,IGNDPS,761,15,0,742,4,670,94,2024-07-29
2024-2025,06,27,MAHARASHTRA,473,CHANDRAPUR,IGNDPS,1192,40,36,1025,91,1010,819,2024-07-29
2024-2025,06,27,MAHARASHTRA,476,GONDIA,IGNDPS,287,44,18,134,91,255,221,2024-07-29
2024-2025,06,27,MAHARASHTRA,487,NASHIK,IGNDPS,886,17,460,384,25,707,138,2024-07-29
2024-2025,06,27,MAHARASHTRA,489,PARBHANI,IGNDPS,217,3,0,212,2,196,43,2024-07-29
2024-2025,06,27,MAHARASHTRA,490,PUNE,IGNDPS,121,12,2,102,5,97,40,2024-07-29
2024-2025,06,27,MAHARASHTRA,495,SINDHUDURG,IGNDPS,125,4,0,106,15,124,59,2024-07-29
2024-2025,06,27,MAHARASHTRA,500,YAVATMAL,IGNDPS,298,13,19,239,27,291,121,2024-07-29
2024-2025,06,28,"ANDHRA PRADESH",504,CUDDAPAH,IGNDPS,4597,668,100,1787,2042,2783,1300,2024-07-29
2024-2025,06,28,"ANDHRA PRADESH",506,GUNTUR,IGNDPS,2940,686,216,1124,914,1720,1256,2024-07-29
2024-2025,06,28,"ANDHRA PRADESH",510,KRISHNA,IGNDPS,5125,1469,271,1315,2070,3536,2332,2024-07-29
2024-2025,06,28,"ANDHRA PRADESH",521,VIZIANAGARAM,IGNDPS,563,59,64,30,410,330,181,2024-07-29
2024-2025,06,29,KARNATAKA,524,BAGALKOTE,IGNDPS,2358,253,65,687,1353,2177,1685,2024-07-29
2024-2025,06,29,KARNATAKA,527,BELGAUM,IGNDPS,7273,704,238,1337,4994,6945,5158,2024-07-29
2024-2025,06,29,KARNATAKA,531,"CHAMARAJA NAGARA",IGNDPS,650,95,33,155,367,642,538,2024-07-29
2024-2025,06,29,KARNATAKA,534,"DAKSHINA KANNADA",IGNDPS,639,47,28,188,376,626,511,2024-07-29
2024-2025,06,29,KARNATAKA,536,DHARWAR,IGNDPS,924,32,25,346,521,914,727,2024-07-29
2024-2025,06,29,KARNATAKA,537,GADAG,IGNDPS,1891,133,76,750,932,1884,1593,2024-07-29
2024-2025,06,29,KARNATAKA,539,HASSAN,IGNDPS,2118,194,24,480,1420,2108,1727,2024-07-29
2024-2025,06,29,KARNATAKA,545,MYSORE,IGNDPS,2620,360,176,740,1344,2540,2078,2024-07-29
2024-2025,06,29,KARNATAKA,547,SHIMOGA,IGNDPS,1707,180,28,598,901,1692,1304,2024-07-29
2024-2025,06,29,KARNATAKA,548,TUMKUR,IGNDPS,2091,127,45,1238,681,2081,1833,2024-07-29
2024-2025,06,29,KARNATAKA,630,CHIKKABALLAPURA,IGNDPS,2763,366,278,483,1636,2699,2208,2024-07-29
2024-2025,06,3,PUNJAB,27,AMRITSAR,IGNDPS,417,0,0,417,0,250,410,2024-07-29
2024-2025,06,3,PUNJAB,28,BATHINDA,IGNDPS,449,42,0,406,1,262,374,2024-07-29
2024-2025,06,3,PUNJAB,30,"FATEHGARH SAHIB",IGNDPS,110,30,0,73,7,78,110,2024-07-29
2024-2025,06,3,PUNJAB,40,NAWANSHAHR,IGNDPS,114,2,0,112,0,82,114,2024-07-29
2024-2025,06,32,KERALA,567,WAYANAD,IGNDPS,503,6,45,452,0,316,399,2024-07-29
2024-2025,06,33,"TAMIL NADU",569,COIMBATORE,IGNDPS,1337,369,16,76,876,1192,1331,2024-07-29
2024-2025,06,33,"TAMIL NADU",572,DINDIGUL,IGNDPS,683,142,0,12,529,561,669,2024-07-29
2024-2025,06,33,"TAMIL NADU",574,KANCHEEPURAM,IGNDPS,2498,619,15,1381,483,1802,2493,2024-07-29
2024-2025,06,33,"TAMIL NADU",577,KRISHNAGIRI,IGNDPS,1187,129,0,34,1024,858,1173,2024-07-29
2024-2025,06,33,"TAMIL NADU",581,PERAMBALUR,IGNDPS,742,253,0,20,469,729,741,2024-07-29
2024-2025,06,33,"TAMIL NADU",594,THOOTHUKKUDI,IGNDPS,1250,204,0,126,920,1141,1248,2024-07-29
2024-2025,06,33,"TAMIL NADU",610,ARIYALUR,IGNDPS,463,105,2,183,173,453,457,2024-07-29
2024-2025,06,36,TELANGANA,509,KHAMMAM,IGNDPS,1597,380,234,16,967,1543,1428,2024-07-29
2024-2025,06,36,TELANGANA,514,NALGONDA,IGNDPS,3838,835,471,301,2231,3088,3080,2024-07-29
2024-2025,06,36,TELANGANA,685,KAMAREDDY,IGNDPS,568,107,40,0,421,568,554,2024-07-29
2024-2025,06,36,TELANGANA,686,HANUMAKONDA,IGNDPS,33,9,0,0,24,33,30,2024-07-29
2024-2025,06,36,TELANGANA,720,MULUGU,IGNDPS,196,37,40,0,119,196,157,2024-07-29
2024-2025,06,37,LADAKH,6,KARGIL,IGNDPS,98,0,98,0,0,0,0,2024-07-29
2024-2025,06,5,UTTARAKHAND,47,CHAMOLI,IGNDPS,105,25,3,77,0,43,70,2024-07-29
2024-2025,06,5,UTTARAKHAND,53,PITHORAGARH,IGNDPS,237,66,3,165,3,99,62,2024-07-29
2024-2025,06,5,UTTARAKHAND,56,"UDAM SINGH NAGAR",IGNDPS,320,39,46,174,61,95,232,2024-07-29
2024-2025,06,6,HARYANA,59,BHIWANI,IGNDPS,1155,399,0,472,284,711,538,2024-07-29
2024-2025,06,6,HARYANA,65,JIND,IGNDPS,2146,510,0,1099,537,1579,1197,2024-07-29
2024-2025,06,6,HARYANA,69,MAHINDERGARH,IGNDPS,1630,254,0,781,595,1075,868,2024-07-29
2024-2025,06,7,DELHI,80,NORTH,IGNDPS,236,0,0,236,0,236,231,2024-07-29
2024-2025,06,7,DELHI,84,"SOUTH WEST ",IGNDPS,454,0,0,451,3,454,439,2024-07-29
2024-2025,06,8,RAJASTHAN,104,JALORE,IGNDPS,934,294,132,125,383,863,892,2024-07-29
2024-2025,06,8,RAJASTHAN,111,PALI,IGNDPS,407,141,35,42,189,321,357,2024-07-29
2024-2025,06,8,RAJASTHAN,91,BHARATPUR,IGNDPS,495,117,21,78,279,391,415,2024-07-29
2024-2025,06,8,RAJASTHAN,93,BIKANER,IGNDPS,700,188,2,231,279,485,581,2024-07-29
2024-2025,06,8,RAJASTHAN,94,BUNDI,IGNDPS,312,73,48,17,174,256,274,2024-07-29
2024-2025,06,8,RAJASTHAN,99,DUNGARPUR,IGNDPS,1414,41,1133,99,141,945,1079,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",121,"AMBEDKAR NAGAR",IGNDPS,2695,628,0,635,1432,1207,1754,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",134,BULANDSHAHR,IGNDPS,1662,462,3,429,768,1008,1132,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",135,CHANDAULI,IGNDPS,741,168,1,158,414,317,537,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",139,ETAWAH,IGNDPS,806,241,2,129,434,285,523,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",140,AYODHYA,IGNDPS,902,276,0,261,365,346,567,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",143,FIROZABAD,IGNDPS,972,205,0,123,644,639,722,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",149,HAMIRPUR,IGNDPS,706,169,1,128,408,292,472,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",153,JHANSI,IGNDPS,897,312,0,119,466,310,686,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",154,"JYOTIBA PHOOLE NAGAR",IGNDPS,812,156,0,218,438,351,684,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",158,KAUSHAMBI,IGNDPS,1405,589,0,303,513,632,975,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",160,"KUSHI NAGAR",IGNDPS,2721,486,4,643,1588,972,1638,2024-07-29
2024-2025,06,9,"UTTAR PRADESH",163,"MAHAMAYA NAGAR (HATHRAS)",IGNDPS,911,265,0,251,395,454,737,2024-07-29
2023-2024,02,15,MIZORAM,261,AIZAWL,IGNDPS,226,1,219,6,0,155,158,2024-07-30
2023-2024,02,15,MIZORAM,265,LUNGLEI,IGNDPS,146,0,140,5,1,60,54,2024-07-30
2023-2024,02,15,MIZORAM,267,SAIHA,IGNDPS,45,0,23,22,0,19,27,2024-07-30
2023-2024,02,15,MIZORAM,268,SERCHHIP,IGNDPS,49,0,45,4,0,32,29,2024-07-30
2023-2024,02,15,MIZORAM,726,HNAHTHIAL,IGNDPS,25,0,24,1,0,22,17,2024-07-30
2023-2024,02,15,MIZORAM,728,KHAWZAWL,IGNDPS,20,0,20,0,0,11,7,2024-07-30
2023-2024,02,16,TRIPURA,652,KHOWAI,IGNDPS,191,28,81,43,39,85,0,2024-07-30
2023-2024,02,16,TRIPURA,655,UNAKOTI,IGNDPS,253,50,27,158,18,114,0,2024-07-30
2023-2024,02,17,MEGHALAYA,657,"EAST JAINTIA HILLS",IGNDPS,41,1,30,9,1,28,3,2024-07-30
2023-2024,02,17,MEGHALAYA,658,"SOUTH WEST KHASI HILLS",IGNDPS,144,0,143,1,0,107,40,2024-07-30
2023-2024,02,18,ASSAM,282,CACHAR,IGNDPS,2162,370,39,1431,322,1226,1425,2024-07-30
2023-2024,02,18,ASSAM,285,DHUBRI,IGNDPS,1984,10,0,1956,18,1596,1511,2024-07-30
2023-2024,02,18,ASSAM,287,GOALPARA,IGNDPS,1271,33,74,1129,35,893,929,2024-07-30
2023-2024,02,18,ASSAM,288,GOLAGHAT,IGNDPS,1256,35,23,1128,70,760,597,2024-07-30
2023-2024,02,18,ASSAM,289,HAILAKANDI,IGNDPS,931,100,5,778,48,691,785,2024-07-30
2023-2024,02,18,ASSAM,300,SIVASAGAR,IGNDPS,1281,45,33,771,432,990,1061,2024-07-30
2023-2024,02,18,ASSAM,708,CHARAIDEO,IGNDPS,542,4,9,364,165,349,537,2024-07-30
2023-2024,02,19,"WEST BENGAL",306,"PURBA BURDWAN",IGNDPS,2780,919,148,1574,139,2694,2407,2024-07-30
2023-2024,02,19,"WEST BENGAL",307,BIRBHUM,IGNDPS,5758,1425,87,4102,144,5536,5134,2024-07-30
2023-2024,02,19,"WEST BENGAL",313,HOWRAH,IGNDPS,1727,279,6,1419,23,1645,1617,2024-07-30
2023-2024,02,19,"WEST BENGAL",315,KOLKATA,IGNDPS,382,2,0,380,0,379,293,2024-07-30
2023-2024,02,19,"WEST BENGAL",318,"PASCHIM MEDINIPUR",IGNDPS,3363,713,261,2339,50,3236,3188,2024-07-30
2023-2024,02,19,"WEST BENGAL",321,PURULIA,IGNDPS,1624,269,167,1153,34,1576,1411,2024-07-30
2023-2024,02,19,"WEST BENGAL",704,"PASCHIM BURDWAN",IGNDPS,60,37,6,17,0,54,58,2024-07-30
2023-2024,02,2,"HIMACHAL PRADESH",23,SHIMLA,IGNDPS,36,14,0,22,0,6,0,2024-07-30
2023-2024,02,20,JHARKHAND,330,GODDA,IGNDPS,1365,160,183,292,730,1344,135,2024-07-30
2023-2024,02,20,JHARKHAND,332,HAZARIBAG,IGNDPS,1833,233,11,1484,105,1829,1376,2024-07-30
2023-2024,02,20,JHARKHAND,333,JAMTARA,IGNDPS,1045,186,199,65,595,1017,1007,2024-07-30
2023-2024,02,20,JHARKHAND,337,PAKUR,IGNDPS,530,11,121,148,250,526,530,2024-07-30
2023-2024,02,20,JHARKHAND,339,RANCHI,IGNDPS,433,53,162,144,74,327,134,2024-07-30
2023-2024,02,20,JHARKHAND,607,RAMGARH,IGNDPS,101,17,15,6,63,97,99,2024-07-30
2023-2024,02,21,ODISHA,348,BHADRAK,IGNDPS,2901,292,19,2055,535,2720,2132,2024-07-30
2023-2024,02,21,ODISHA,349,BOUDH,IGNDPS,1151,114,52,757,228,1125,277,2024-07-30
2023-2024,02,21,ODISHA,350,CUTTACK,IGNDPS,3819,383,31,2504,901,3534,1649,2024-07-30
2023-2024,02,21,ODISHA,352,DHENKANAL,IGNDPS,2631,275,83,1847,426,2631,1527,2024-07-30
2023-2024,02,21,ODISHA,355,JAGATSINGHAPUR,IGNDPS,1944,280,2,1207,455,1864,876,2024-07-30
2023-2024,02,21,ODISHA,356,JAJPUR,IGNDPS,4575,387,44,3042,1102,4556,1812,2024-07-30
2023-2024,02,21,ODISHA,373,SUNDARGARH,IGNDPS,4581,314,1634,2347,286,4417,3369,2024-07-30
2023-2024,02,22,CHHATTISGARH,380,JASHPUR,IGNDPS,774,62,410,117,185,696,516,2024-07-30
2023-2024,02,22,CHHATTISGARH,636,BIJAPUR,IGNDPS,374,33,220,80,41,272,17,2024-07-30
2023-2024,02,22,CHHATTISGARH,637,NARAYANPUR,IGNDPS,268,8,184,46,30,235,8,2024-07-30
2023-2024,02,22,CHHATTISGARH,646,BALOD,IGNDPS,242,39,52,41,110,228,44,2024-07-30
2023-2024,02,22,CHHATTISGARH,649,BALRAMPUR,IGNDPS,1435,32,410,784,209,1318,1046,2024-07-30
2023-2024,02,22,CHHATTISGARH,734,"GAURELA- PENDRA-MARWAHI",IGNDPS,1265,32,148,949,136,1062,384,2024-07-30
2023-2024,02,22,CHHATTISGARH,763,"SARANGARH BILAIGARH",IGNDPS,707,175,44,118,370,654,118,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",390,ANUPPUR,IGNDPS,2062,302,928,127,705,999,356,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",391,ASHOKNAGAR,IGNDPS,1022,305,115,105,497,536,425,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",394,BETUL,IGNDPS,2840,482,882,145,1331,1640,913,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",395,BHIND,IGNDPS,1696,545,9,445,697,805,740,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",402,DEWAS,IGNDPS,2851,932,482,360,1077,1297,778,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",415,MANDLA,IGNDPS,4053,286,2199,88,1480,1988,581,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",418,NARSINGHPUR,IGNDPS,4042,982,439,488,2133,2100,885,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",419,NEEMUCH,IGNDPS,1373,259,132,180,802,757,265,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",428,SEONI,IGNDPS,2015,297,700,194,824,1259,622,2024-07-30
2023-2024,02,23,"MADHYA PRADESH",667,"AGAR MALWA",IGNDPS,620,153,17,97,353,310,32,2024-07-30
2023-2024,02,24,GUJARAT,450,KHEDA,IGNDPS,1946,107,13,1579,247,1660,647,2024-07-30
2023-2024,02,24,GUJARAT,459,SURAT,IGNDPS,368,16,133,216,1,243,285,2024-07-30
2023-2024,02,27,MAHARASHTRA,477,HINGOLI,IGNDPS,104,12,0,92,0,103,7,2024-07-30
2023-2024,02,27,MAHARASHTRA,484,NAGPUR,IGNDPS,102,0,0,101,1,93,27,2024-07-30
2023-2024,02,27,MAHARASHTRA,495,SINDHUDURG,IGNDPS,126,5,0,106,15,125,59,2024-07-30
2023-2024,02,27,MAHARASHTRA,496,SOLAPUR,IGNDPS,291,9,0,269,13,175,43,2024-07-30
2023-2024,02,27,MAHARASHTRA,499,WASHIM,IGNDPS,52,4,2,44,2,52,6,2024-07-30
2023-2024,02,28,"ANDHRA PRADESH",502,ANANTAPUR,IGNDPS,4928,857,272,1215,2584,3210,1437,2024-07-30
2023-2024,02,28,"ANDHRA PRADESH",511,KURNOOL,IGNDPS,1375,229,83,345,718,768,590,2024-07-30
2023-2024,02,28,"ANDHRA PRADESH",515,"SPSR NELLORE",IGNDPS,1041,215,123,438,265,388,302,2024-07-30
2023-2024,02,28,"ANDHRA PRADESH",519,SRIKAKULAM,IGNDPS,1056,70,32,99,855,678,315,2024-07-30
2023-2024,02,28,"ANDHRA PRADESH",523,"WEST GODAVARI",IGNDPS,2601,603,132,575,1291,1523,1349,2024-07-30
2023-2024,02,29,KARNATAKA,526,"BENGALURU RURAL",IGNDPS,765,81,11,207,466,755,588,2024-07-30
2023-2024,02,29,KARNATAKA,527,BELGAUM,IGNDPS,6898,663,220,1021,4994,6570,4783,2024-07-30
2023-2024,02,29,KARNATAKA,532,CHIKMAGALUR,IGNDPS,576,32,6,185,353,569,422,2024-07-30
2023-2024,02,29,KARNATAKA,544,MANDYA,IGNDPS,991,55,3,175,758,978,807,2024-07-30
2023-2024,02,29,KARNATAKA,546,RAICHUR,IGNDPS,804,50,38,127,589,775,497,2024-07-30
2023-2024,02,29,KARNATAKA,547,SHIMOGA,IGNDPS,1447,140,17,389,901,1432,1044,2024-07-30
2023-2024,02,3,PUNJAB,27,AMRITSAR,IGNDPS,417,0,0,417,0,250,410,2024-07-30
2023-2024,02,3,PUNJAB,38,MOGA,IGNDPS,269,0,0,269,0,152,255,2024-07-30
2023-2024,02,3,PUNJAB,39,MUKTSAR,IGNDPS,166,24,0,142,0,130,166,2024-07-30
2023-2024,02,30,GOA,552,"SOUTH GOA",IGNDPS,240,1,65,121,53,187,5,2024-07-30
2023-2024,02,32,KERALA,557,KANNUR,IGNDPS,2645,19,37,2589,0,1981,2166,2024-07-30
2023-2024,02,32,KERALA,558,KASARAGOD,IGNDPS,1288,14,31,1243,0,796,981,2024-07-30
2023-2024,02,32,KERALA,562,MALAPPURAM,IGNDPS,3615,101,59,3455,0,1984,3150,2024-07-30
2023-2024,02,33,"TAMIL NADU",574,KANCHEEPURAM,IGNDPS,2212,485,16,1367,344,1179,2210,2024-07-30
2023-2024,02,33,"TAMIL NADU",577,KRISHNAGIRI,IGNDPS,1121,120,1,29,971,458,1109,2024-07-30
2023-2024,02,33,"TAMIL NADU",584,SALEM,IGNDPS,3170,543,102,1601,924,2653,3146,2024-07-30
2023-2024,02,33,"TAMIL NADU",588,THENI,IGNDPS,365,38,0,77,250,204,364,2024-07-30
2023-2024,02,36,TELANGANA,507,HYDERABAD,IGNDPS,1032,40,7,735,250,1029,963,2024-07-30
2023-2024,02,36,TELANGANA,516,NIZAMABAD,IGNDPS,3673,620,359,432,2262,2581,3557,2024-07-30
