fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,07,5,UTTARAKHAND,54,"RUDRA PRAYAG",IGNDPS,56,8,0,48,0,22,8,2024-07-30
2023-2024,07,5,UTTARAKHAND,55,"TEHRI GARWAL",IGNDPS,343,27,1,315,0,80,25,2024-07-30
2023-2024,07,6,HARYANA,67,KARNAL,IGNDPS,3756,460,0,2728,568,2267,1259,2024-07-30
2023-2024,07,6,HARYANA,69,MAHINDERGARH,IGNDPS,1600,247,0,762,591,1045,838,2024-07-30
2023-2024,07,6,HARYANA,75,SONIPAT,IGNDPS,3284,355,0,2400,529,1883,480,2024-07-30
2023-2024,07,7,DELHI,83,SOUTH,IGNDPS,688,0,0,683,5,688,638,2024-07-30
2023-2024,07,8,RAJASTHAN,100,GANGANAGAR,IGNDPS,1828,937,8,191,692,1567,1549,2024-07-30
2023-2024,07,8,RAJASTHAN,104,JALORE,IGNDPS,932,294,131,125,382,861,890,2024-07-30
2023-2024,07,8,RAJASTHAN,105,JHALAWAR,IGNDPS,693,97,87,82,427,630,653,2024-07-30
2023-2024,07,8,RAJASTHAN,106,JHUNJHUNU,IGNDPS,803,214,16,208,365,565,635,2024-07-30
2023-2024,07,8,RAJASTHAN,109,KOTA,IGNDPS,136,38,5,26,67,122,125,2024-07-30
2023-2024,07,8,RAJASTHAN,111,PALI,IGNDPS,402,138,34,41,189,316,352,2024-07-30
2023-2024,07,8,RAJASTHAN,87,ALWAR,IGNDPS,796,158,93,215,330,641,717,2024-07-30
2023-2024,07,8,RAJASTHAN,89,BARAN,IGNDPS,1536,399,325,118,694,1203,1153,2024-07-30
2023-2024,07,8,RAJASTHAN,93,BIKANER,IGNDPS,690,185,2,227,276,475,571,2024-07-30
2023-2024,07,8,RAJASTHAN,98,DHOLPUR,IGNDPS,165,20,1,65,79,117,125,2024-07-30
2023-2024,07,8,RAJASTHAN,99,DUNGARPUR,IGNDPS,1409,41,1129,99,140,940,1074,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",123,AZAMGARH,IGNDPS,3017,819,4,551,1643,972,1695,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",127,BALRAMPUR,IGNDPS,637,83,3,255,296,327,459,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",138,ETAH,IGNDPS,1061,201,1,250,609,443,702,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",142,FATEHPUR,IGNDPS,1863,505,2,476,880,847,1211,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",149,HAMIRPUR,IGNDPS,706,169,1,128,408,292,472,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",151,JALAUN,IGNDPS,907,269,0,269,369,441,601,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",153,JHANSI,IGNDPS,897,312,0,119,466,310,686,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",159,KHERI,IGNDPS,2372,617,21,681,1053,1019,1567,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",161,LALITPUR,IGNDPS,820,178,29,135,478,502,735,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",174,PRATAPGARH,IGNDPS,2129,455,1,678,995,1006,1319,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",176,RAMPUR,IGNDPS,725,87,0,330,308,356,491,2024-07-30
2023-2024,07,9,"UTTAR PRADESH",180,SHAHJAHANPUR,IGNDPS,949,171,2,305,471,430,650,2024-07-30
2023-2024,07,1,"JAMMU AND KASHMIR",2,BADGAM,IGNDPS,105,4,0,98,3,52,14,2024-07-30
